,tile_ID,geometry,position
40,40,"POLYGON ((-74.00679771221461 40.7503257655951, -74.00679771221461 40.75542953623459, -74.00006034758371 40.75542953623459, -74.00006034758371 40.7503257655951, -74.00679771221461 40.7503257655951))","[6, 13]"
41,41,"POLYGON ((-74.00679771221461 40.75542953623459, -74.00679771221461 40.76053291509339, -74.00006034758371 40.76053291509339, -74.00006034758371 40.75542953623459, -74.00679771221461 40.75542953623459))","[6, 14]"
42,42,"POLYGON ((-74.00679771221461 40.76053291509339, -74.00679771221461 40.76563590216109, -74.00006034758371 40.76563590216109, -74.00006034758371 40.76053291509339, -74.00679771221461 40.76053291509339))","[6, 15]"
43,43,"POLYGON ((-74.00679771221461 40.76563590216109, -74.00679771221461 40.77073849742729, -74.00006034758371 40.77073849742729, -74.00006034758371 40.76563590216109, -74.00679771221461 40.76563590216109))","[6, 16]"
44,44,"POLYGON ((-74.00006034758371 40.70437420143299, -74.00006034758371 40.70948149762803, -73.99332298295282 40.70948149762803, -73.99332298295282 40.70437420143299, -74.00006034758371 40.70437420143299))","[7, 4]"
45,45,"POLYGON ((-74.00006034758371 40.70948149762803, -74.00006034758371 40.71458840213665, -73.99332298295282 40.71458840213665, -73.99332298295282 40.70948149762803, -74.00006034758371 40.70948149762803))","[7, 5]"
46,46,"POLYGON ((-74.00006034758371 40.71458840213665, -74.00006034758371 40.71969491494836, -73.99332298295282 40.71969491494836, -73.99332298295282 40.71458840213665, -74.00006034758371 40.71458840213665))","[7, 6]"
47,47,"POLYGON ((-74.00006034758371 40.71969491494836, -74.00006034758371 40.72480103605261, -73.99332298295282 40.72480103605261, -73.99332298295282 40.71969491494836, -74.00006034758371 40.71969491494836))","[7, 7]"
48,48,"POLYGON ((-74.00006034758371 40.72480103605261, -74.00006034758371 40.72990676543892, -73.99332298295282 40.72990676543892, -73.99332298295282 40.72480103605261, -74.00006034758371 40.72480103605261))","[7, 8]"
49,49,"POLYGON ((-74.00006034758371 40.72990676543892, -74.00006034758371 40.7350121030968, -73.99332298295282 40.7350121030968, -73.99332298295282 40.72990676543892, -74.00006034758371 40.72990676543892))","[7, 9]"
50,50,"POLYGON ((-74.00006034758371 40.7350121030968, -74.00006034758371 40.74011704901576, -73.99332298295282 40.74011704901576, -73.99332298295282 40.7350121030968, -74.00006034758371 40.7350121030968))","[7, 10]"
51,51,"POLYGON ((-74.00006034758371 40.74011704901576, -74.00006034758371 40.74522160318534, -73.99332298295282 40.74522160318534, -73.99332298295282 40.74011704901576, -74.00006034758371 40.74011704901576))","[7, 11]"
52,52,"POLYGON ((-74.00006034758371 40.74522160318534, -74.00006034758371 40.7503257655951, -73.99332298295282 40.7503257655951, -73.99332298295282 40.74522160318534, -74.00006034758371 40.74522160318534))","[7, 12]"
53,53,"POLYGON ((-74.00006034758371 40.7503257655951, -74.00006034758371 40.75542953623459, -73.99332298295282 40.75542953623459, -73.99332298295282 40.7503257655951, -74.00006034758371 40.7503257655951))","[7, 13]"
54,54,"POLYGON ((-74.00006034758371 40.75542953623459, -74.00006034758371 40.76053291509339, -73.99332298295282 40.76053291509339, -73.99332298295282 40.75542953623459, -74.00006034758371 40.75542953623459))","[7, 14]"
55,55,"POLYGON ((-74.00006034758371 40.76053291509339, -74.00006034758371 40.76563590216109, -73.99332298295282 40.76563590216109, -73.99332298295282 40.76053291509339, -74.00006034758371 40.76053291509339))","[7, 15]"
56,56,"POLYGON ((-74.00006034758371 40.76563590216109, -74.00006034758371 40.77073849742729, -73.99332298295282 40.77073849742729, -73.99332298295282 40.76563590216109, -74.00006034758371 40.76563590216109))","[7, 16]"
57,57,"POLYGON ((-74.00006034758371 40.77073849742729, -74.00006034758371 40.77584070088161, -73.99332298295282 40.77584070088161, -73.99332298295282 40.77073849742729, -74.00006034758371 40.77073849742729))","[7, 17]"
58,58,"POLYGON ((-73.99332298295282 40.70437420143299, -73.99332298295282 40.70948149762803, -73.98658561832193 40.70948149762803, -73.98658561832193 40.70437420143299, -73.99332298295282 40.70437420143299))","[8, 4]"
59,59,"POLYGON ((-73.99332298295282 40.70948149762803, -73.99332298295282 40.71458840213665, -73.98658561832193 40.71458840213665, -73.98658561832193 40.70948149762803, -73.99332298295282 40.70948149762803))","[8, 5]"
60,60,"POLYGON ((-73.99332298295282 40.71458840213665, -73.99332298295282 40.71969491494836, -73.98658561832193 40.71969491494836, -73.98658561832193 40.71458840213665, -73.99332298295282 40.71458840213665))","[8, 6]"
61,61,"POLYGON ((-73.99332298295282 40.71969491494836, -73.99332298295282 40.72480103605261, -73.98658561832193 40.72480103605261, -73.98658561832193 40.71969491494836, -73.99332298295282 40.71969491494836))","[8, 7]"
62,62,"POLYGON ((-73.99332298295282 40.72480103605261, -73.99332298295282 40.72990676543892, -73.98658561832193 40.72990676543892, -73.98658561832193 40.72480103605261, -73.99332298295282 40.72480103605261))","[8, 8]"
63,63,"POLYGON ((-73.99332298295282 40.72990676543892, -73.99332298295282 40.7350121030968, -73.98658561832193 40.7350121030968, -73.98658561832193 40.72990676543892, -73.99332298295282 40.72990676543892))","[8, 9]"
64,64,"POLYGON ((-73.99332298295282 40.7350121030968, -73.99332298295282 40.74011704901576, -73.98658561832193 40.74011704901576, -73.98658561832193 40.7350121030968, -73.99332298295282 40.7350121030968))","[8, 10]"
65,65,"POLYGON ((-73.99332298295282 40.74011704901576, -73.99332298295282 40.74522160318534, -73.98658561832193 40.74522160318534, -73.98658561832193 40.74011704901576, -73.99332298295282 40.74011704901576))","[8, 11]"
66,66,"POLYGON ((-73.99332298295282 40.74522160318534, -73.99332298295282 40.7503257655951, -73.98658561832193 40.7503257655951, -73.98658561832193 40.74522160318534, -73.99332298295282 40.74522160318534))","[8, 12]"
67,67,"POLYGON ((-73.99332298295282 40.7503257655951, -73.99332298295282 40.75542953623459, -73.98658561832193 40.75542953623459, -73.98658561832193 40.7503257655951, -73.99332298295282 40.7503257655951))","[8, 13]"
68,68,"POLYGON ((-73.99332298295282 40.75542953623459, -73.99332298295282 40.76053291509339, -73.98658561832193 40.76053291509339, -73.98658561832193 40.75542953623459, -73.99332298295282 40.75542953623459))","[8, 14]"
69,69,"POLYGON ((-73.99332298295282 40.76053291509339, -73.99332298295282 40.76563590216109, -73.98658561832193 40.76563590216109, -73.98658561832193 40.76053291509339, -73.99332298295282 40.76053291509339))","[8, 15]"
70,70,"POLYGON ((-73.99332298295282 40.76563590216109, -73.99332298295282 40.77073849742729, -73.98658561832193 40.77073849742729, -73.98658561832193 40.76563590216109, -73.99332298295282 40.76563590216109))","[8, 16]"
71,71,"POLYGON ((-73.99332298295282 40.77073849742729, -73.99332298295282 40.77584070088161, -73.98658561832193 40.77584070088161, -73.98658561832193 40.77073849742729, -73.99332298295282 40.77073849742729))","[8, 17]"
72,72,"POLYGON ((-73.99332298295282 40.77584070088161, -73.99332298295282 40.78094251251368, -73.98658561832193 40.78094251251368, -73.98658561832193 40.77584070088161, -73.99332298295282 40.77584070088161))","[8, 18]"
